file id,CodeGPT,InCoder,UnixCoder,Usage Scenario,Trigger Point,Programming Language
1726,"ME-S5, NA-2","UO-1, NA-2","ME-T3, NA-2",Partial Line Completion,<<,cpp
1727,NA-2,NA-2,NA-2,Line Edit,(,cpp
1728,"ME-S5, NA-1",NA-1,NA-1,NA,/,cpp
1729,"ME-T2, ME-S1",ME-S3,"ME-T1, ME-T2",Line Edit,>,cpp
1730,NA-1,NA-1,NA-1,NA,*,cpp
1731,"ME-T1, ME-T4","ME-S2, ME-T2","ME-T2, ME-T4",Line Completion,<,cpp
1732,NA-2,NA-2,NA-2,Partial Line Completion,,cpp
1733,"ME-T2, AE-1","ME-T1, AE-1","ME-T1, AE-1",Line Completion,,cpp
1735,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Partial Line Completion,,cpp
1736,"ME-T2, AE-1","ME-T2, AE-1","ME-S2, AE-1",Partial Line Completion,,cpp
1737,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Partial Line Completion,,cpp
1738,"ME-T1, AE-1","ME-T1, AE-1","ME-S5, AE-1",Line Completion,,cpp
1739,NA-1,NA-1,NA-1,NA,/,cpp
1740,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Partial Line Completion,,cpp
1741,NA-1,NA-1,NA-1,NA,if,cpp
1742,"ME-T3, ME-S7","ME-T2, AE-1","ME-T2, AE-1",Line Edit,=,cpp
1743,ME-S5,UO-2,"ME-S3, ME-S1",Line Edit,%,cpp
1744,NA-1,NA-1,NA-1,NA,*,cpp
1745,"ME-S2, ME-T1",UO-1,"ME-S2, ME-T1",Partial Line Completion,(,cpp
1746,"ME-S2, AE-1","UO-1, AE-1","ME-T3, AE-1",Line Completion,,cpp
1747,"ME-S2, ME-T1","ME-S2, ME-T2","ME-S2, ME-S5",Line Completion,>,cpp
1748,ME-T3,"AE-2, ME-T3","AE-2, ME-T3",Line Completion,=,cpp
1749,"ME-S2, ME-T2","ME-T1, ME-T2","ME-T1, ME-T2",Partial Line Completion,(,cpp
1750,"ME-S7, AE-1","ME-S2, AE-1","ME-S3, AE-1",Line Completion,,cpp
1751,"ME-T3, ME-S7","ME-T3, ME-S1","ME-T3, ME-S1",Partial Line Completion,/,cpp
1752,"UO-3, NA-2","UO-3, NA-2","UO-3, NA-2",Line Edit,(,cpp
1753,NA-1,NA-1,NA-1,NA,/,cpp
1754,"ME-T1, AE-2","ME-T1, UO-3","ME-T1, UO-3",Line Completion,*,cpp
1755,"ME-T1, ME-T3",ME-T3,"ME-T3, ME-T2",Partial Line Completion,-,cpp
1756,UO-1,UO-1,UO-1,Line Edit,",",cpp
1757,AE-3,AE-3,AE-3,NA,,cpp
1758,"ME-T2, ME-S6",ME-T2,"ME-T2, ME-S1",Line Completion,.,cpp
1759,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Partial Line Completion,,cpp
1760,"ME-T2, AE-1","ME-T2, AE-1","ME-S2, AE-1",Line Completion,,cpp
1761,AE-3,AE-3,AE-3,NA,/,cpp
1762,"ME-T2, ME-S1","ME-T2, ME-T3","ME-T1, ME-T2",Line Completion,,cpp
1763,NA-1,NA-1,NA-1,NA,.,cpp
1764,AE-3,AE-3,AE-3,NA,(,cpp
1765,NA-2,NA-2,"AE-2, NA-2",Line Completion,>,cpp
1766,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Partial Line Completion,,cpp
1767,AE-3,AE-3,AE-3,NA,=,cpp
1768,"ME-T3, ME-S7","ME-S7, AE-1","ME-T3, ME-S7",Line Completion,<,cpp
1769,UO-1,"UO-1, ME-S4",ME-S4,Line Edit,",",cpp
1770,"ME-T2, ME-S5","ME-T2, AE-1","ME-T2, AE-1",Partial Line Completion,,cpp
1771,"AE-4, AE-1","AE-4, AE-1","AE-4, AE-1",Line Completion,,cpp
1773,"ME-T2, UO-2","ME-S3, UO-3","ME-S2, UO-2",Line Edit,.,cpp
1774,"ME-T2, AE-1","AE-2, AE-1","AE-2, AE-1",Line Completion,,cpp
1775,"AE-2, ME-T1",UO-1,"ME-T1, ME-T4",Line Edit,",",cpp
1776,UO-1,UO-1,UO-1,Partial Line Completion,",",cpp
1777,NA-1,NA-1,NA-1,NA,*,cpp
1778,"ME-S7, AE-1","ME-T3, AE-1","ME-T3, AE-1",Line Completion,<,cpp
1779,"AE-2, ME-S7",UO-1,"AE-2, ME-S2",Line Completion,,cpp
1780,NA-1,NA-1,NA-1,NA,/,cpp
1781,AE-3,AE-3,AE-3,NA,>,cpp
1782,"ME-T1, AE-1","ME-S1, AE-1","ME-T1, AE-1",Partial Line Completion,-,cpp
1784,"ME-T2, ME-S1","ME-S1, ME-T4","ME-S1, ME-T4",Line Completion,,cpp
1785,AE-4,AE-4,AE-4,NA,-,cpp
1786,NA-1,NA-1,NA-1,NA,-,cpp
1787,NA-1,NA-1,NA-1,NA,/,cpp
1788,NA-2,NA-2,NA-2,Partial Line Completion,[,cpp
1790,UO-1,"ME-S3, ME-T1",UO-1,Line Completion,;,cpp
1791,"ME-S2, ME-T2",UO-1,"ME-S2, ME-T2",Line Completion,.,cpp
1792,"ME-S3, ME-T2","ME-S2, ME-T2","ME-S2, ME-T2",Line Edit,(,cpp
1793,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Line Edit,,cpp
1794,"ME-S2, AE-1","ME-S2, AE-1","ME-S2, AE-1",Line Edit,,cpp
1795,UO-2,ME-T3,"ME-T3, ME-T2",Partial Line Completion,is,cpp
1796,UO-1,UO-1,UO-1,Line Completion,/,cpp
1797,NA-1,NA-1,NA-1,NA,<<,cpp
1798,"AE-4, AE-1","AE-4, AE-1","ME-S5, AE-4",Line Completion,,cpp
1799,"ME-T3, AE-4","UO-1, AE-4","ME-T3, AE-4",Line Edit,+,cpp
1800,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Line Completion,,cpp
1801,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Partial Line Completion,,cpp
1802,"ME-S2, ME-T2","ME-S2, ME-T2","ME-S2, ME-T2",Line Edit,(,cpp
1803,"ME-T3, NA-2","NA-2, ME-S1","ME-T1, NA-2",Line Edit,(,cpp
1804,NA-2,NA-2,NA-2,NA,.,cpp
1805,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Line Completion,,cpp
1806,"ME-S7, AE-1","ME-S7, AE-1","ME-S7, AE-1",Partial Line Completion,-,cpp
1807,UO-1,ME-T2,"ME-T1, ME-T3",Partial Line Completion,(,cpp
1808,UO-1,UO-1,"ME-T1, ME-T2",Line Completion,return,cpp
1809,UO-1,UO-1,UO-1,Line Completion,,cpp
1810,"ME-T1, AE-1","ME-T1, ME-T3","ME-T1, AE-1",Line Completion,,cpp
1811,"ME-S5, NA-1",NA-1,NA-1,NA,.,cpp
1813,"ME-S3, ME-S1","ME-S3, ME-S1","ME-S3, ME-S1",Line Edit,/,cpp
1814,"ME-T2, AE-1","AE-1, ME-T4","AE-1, ME-T4",Partial Line Completion,,cpp
1815,NA-1,NA-1,NA-1,NA,&,cpp
1816,"ME-T2, ME-S1","ME-T2, AE-1","ME-T1, AE-1",Line Edit,,cpp
1604,"ME-T1, AE-1","UO-1, AE-1","ME-T3, AE-1",Line Completion,,csharp
1605,"ME-T1, ME-T3","ME-T2, ME-T3",ME-T3,Line Completion,if,csharp
1606,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Partial Line Completion,,csharp
1607,"ME-S3, ME-T1",ME-S3,"ME-T1, ME-S1",Line Edit,",",csharp
1608,UO-1,ME-T3,ME-T3,Line Edit,+,csharp
1609,"ME-S2, ME-T2","ME-T2, UO-2","AE-2, UO-2",Line Completion,.,csharp
1610,NA-1,NA-1,NA-1,NA,/,csharp
1612,NA-2,NA-2,NA-2,Line Completion,,csharp
1613,"AE-2, ME-S5",UO-1,"ME-S1, ME-T4",Line Edit,(,csharp
1614,"ME-T1, ME-S2","ME-S2, ME-T2","ME-T2, ME-T3",Line Edit,(,csharp
1615,"ME-T1, ME-T3",ME-T3,ME-T3,Line Edit,.,csharp
1616,UO-1,UO-1,UO-1,Partial Line Completion,(,csharp
1617,"ME-T1, ME-T3","ME-S4, ME-T2","ME-T1, ME-T3",Partial Line Completion,[,csharp
1618,"ME-T1, ME-T3",UO-1,"AE-2, ME-T3",Line Completion,for,csharp
1619,UO-1,"ME-T2, ME-T3",UO-1,Line Edit,",",csharp
1621,"ME-T1, AE-1","ME-S4, ME-T1","ME-S4, ME-T1",Partial Line Completion,,csharp
1622,"ME-T1, ME-T2","ME-T1, ME-T3","ME-T1, AE-1",Line Completion,,csharp
1624,"ME-T1, ME-T3","ME-S4, ME-T2",ME-T3,Line Completion,if,csharp
1625,UO-2,UO-1,ME-T3,Line Edit,.,csharp
1626,"ME-T1, ME-T3","ME-T1, ME-T3",UO-1,Line Completion,if,csharp
1627,"ME-S7, AE-1","AE-2, ME-T3","AE-2, ME-T3",Line Edit,=,csharp
1628,UO-2,"ME-T2, ME-S1",ME-T3,Line Completion,.,csharp
1629,"ME-T1, ME-T2",UO-1,"ME-T2, ME-T3",Line Completion,-=,csharp
1630,"ME-T3, ME-T2",ME-S3,ME-T2,Partial Line Completion,*,csharp
1631,ME-T3,ME-T3,ME-T3,Line Completion,return,csharp
1632,"ME-S3, ME-S1",ME-S3,ME-S3,Line Edit,==,csharp
1633,"ME-T2, ME-S1",UO-1,"ME-T1, ME-T2",Partial Line Completion,.,csharp
1634,UO-1,UO-1,UO-1,Line Completion,,csharp
1635,NA-2,NA-2,NA-2,Partial Line Completion,.,csharp
1637,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Line Completion,,csharp
1638,"ME-T1, ME-T3",ME-T3,ME-T3,Partial Line Completion,(,csharp
1639,"ME-T1, NA-2","ME-T2, NA-2","ME-T2, NA-2",Line Edit,[,csharp
1640,ME-T3,ME-T3,ME-T3,Line Completion,=,csharp
1672,"ME-T2, ME-S6","ME-S3, ME-T2","ME-S3, ME-T2",Line Completion,.,css
1673,UO-1,"ME-T1, AE-1","ME-S4, ME-T1",Line Completion,-,css
1674,ME-T2,ME-T2,"ME-T1, ME-S5",Line Completion,-,css
1675,ME-S5,ME-T2,"ME-S5, UO-3",Line Completion,.,css
1676,ME-T2,ME-T2,ME-T2,Line Completion,.,css
1677,"ME-T1, ME-T3","ME-T1, ME-T3","ME-T1, ME-T3",Line Completion,-,css
1678,"ME-T2, AE-1",UO-1,UO-1,Line Completion,.,css
1679,"NA-1, AE-1","NA-1, AE-1","NA-1, AE-1",NA,,css
1680,"ME-S6, ME-S5","ME-S4, ME-T2","ME-T1, ME-T2",Line Completion,,css
1681,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Line Completion,,css
1682,NA-1,NA-1,NA-1,NA,/,css
1683,"AE-2, ME-T3","ME-T3, AE-1","ME-T3, AE-1",Partial Line Completion,,css
1684,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Line Completion,,css
1685,NA-2,NA-2,NA-2,Line Edit,.,css
1523,"ME-S3, ME-T2",ME-T2,"ME-T2, ME-S1",Line Completion,<,html
1524,"ME-S3, ME-T2","ME-T2, ME-S6","ME-T2, ME-S1",Line Completion,<,html
1525,NA-2,NA-2,NA-2,Line Edit,,html
1526,"AE-2, ME-S5","ME-T1, AE-2","ME-T1, AE-2",Partial Line Completion,{,html
1527,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Partial Line Completion,,html
1528,"AE-2, ME-T3","AE-2, ME-T3","AE-2, ME-T3",Partial Line Completion,,html
1529,NA-1,NA-1,NA-1,NA,,html
1530,NA-1,NA-1,NA-1,NA,,html
1531,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Partial Line Completion,,html
1532,NA-1,NA-1,NA-1,NA,<,html
1533,AE-3,AE-3,AE-3,NA,,html
1534,NA-1,NA-1,NA-1,NA,<,html
1535,NA-1,NA-1,NA-1,NA,=,html
1536,"AE-1, UO-2","AE-1, UO-2","AE-1, UO-2",Partial Line Completion,,html
1537,"AE-2, ME-T3","ME-T3, ME-S7","ME-T3, ME-S7",Partial Line Completion,=,html
1538,AE-3,AE-3,AE-3,NA,,html
1539,"AE-4, AE-1","ME-T3, AE-4","ME-T1, AE-4",Partial Line Completion,,html
1540,NA-1,NA-1,"ME-S5, NA-1",NA,",",html
1541,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Line Completion,,html
1542,"ME-T2, AE-1","AE-2, ME-T2","AE-2, ME-T2",Line Edit,-,html
1543,ME-T3,ME-T3,ME-T3,Line Completion,,html
1544,NA-1,NA-1,NA-1,NA,-,html
1545,NA-1,NA-1,NA-1,NA,==,html
1546,"AE-2, NA-1","AE-2, NA-1","AE-2, NA-1",NA,<,html
1547,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Partial Line Completion,,html
1548,NA-1,NA-1,NA-1,NA,",",html
1549,NA-1,NA-1,NA-1,NA,,html
1550,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Partial Line Completion,,html
1551,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Partial Line Completion,,html
1552,"ME-S7, AE-1","ME-T2, AE-1","ME-T2, AE-1",Partial Line Completion,,html
1553,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Partial Line Completion,,html
1554,NA-1,"ME-S5, NA-1",NA-1,NA,<,html
1555,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Partial Line Completion,,html
1556,"ME-S5, NA-1",NA-1,NA-1,NA,,html
1557,AE-3,AE-3,AE-3,NA,,html
1558,NA-1,NA-1,"ME-S5, NA-1",NA,=,html
1559,"ME-S1, AE-1","ME-T1, AE-1","ME-T3, AE-1",Partial Line Completion,,html
1560,"ME-T1, ME-T3","ME-T3, ME-S1","ME-T3, ME-S1",Partial Line Completion,=,html
1561,"ME-S4, NA-2","ME-T3, NA-2","ME-T3, NA-2",Partial Line Completion,;,html
1562,NA-1,NA-1,NA-1,NA,,html
1563,NA-1,NA-1,NA-1,NA,-,html
1564,"ME-T3, AE-1","UO-1, AE-1","AE-1, UO-2",Partial Line Completion,,html
1565,"ME-T2, ME-T3","ME-T2, ME-S1","ME-T2, ME-S1",Line Completion,<,html
1566,"ME-T2, ME-S7","ME-S3, ME-T3","ME-S3, ME-T3",Line Completion,<,html
1567,NA-1,NA-1,NA-1,NA,=,html
1568,"AE-2, ME-S5","ME-S2, ME-T2","ME-S2, ME-T2",Line Completion,<,html
1569,"ME-S5, NA-1","ME-S5, NA-1","ME-S5, NA-1",NA,,html
1570,UO-1,UO-1,UO-1,Line Completion,/,html
1571,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Partial Line Completion,,html
1572,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Line Completion,,html
1573,NA-1,NA-1,NA-1,NA,<,html
1574,NA-1,"AE-2, NA-1","AE-2, NA-1",NA,,html
1575,AE-3,AE-3,AE-3,NA,,html
1576,"ME-S7, ME-S1",ME-T3,ME-S5,Partial Line Completion,=,html
1577,AE-3,AE-3,AE-3,NA,-,html
1578,"ME-T3, ME-S1",ME-T3,"ME-T3, ME-S7",Partial Line Completion,=,html
1579,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Line Completion,,html
1580,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Partial Line Completion,,html
1581,AE-3,AE-3,AE-3,NA,,html
1582,"ME-T3, AE-1","ME-T3, AE-1","ME-T3, AE-1",Partial Line Completion,,html
1583,"NA-1, AE-1","NA-1, AE-1","NA-1, AE-1",NA,,html
1584,"ME-T3, ME-S1","ME-T1, ME-T3","ME-T1, ME-T3",Partial Line Completion,;,html
569,"AE-2, ME-T1","ME-T1, AE-2","AE-2, UO-3",Line Completion,(,java
570,NA-2,NA-2,"ME-T2, NA-2",Line Completion,return,java
572,"ME-S7, AE-1","ME-S7, AE-1","ME-S7, AE-1",Line Completion,+,java
573,NA-1,NA-1,NA-1,NA,in,java
575,"ME-T1, ME-T2","ME-T1, ME-T2","ME-T1, ME-T2",Line Completion,if,java
576,"ME-S2, ME-T1","ME-S2, ME-S7","ME-T1, UO-3",Line Completion,if,java
577,NA-1,NA-1,NA-1,NA,return,java
578,UO-1,UO-1,UO-1,Line Completion,=,java
579,NA-1,NA-1,NA-1,NA,is,java
580,"ME-T3, ME-T2","ME-T2, ME-T3","ME-T2, ME-T3",Line Completion,*,java
581,NA-1,NA-1,NA-1,NA,and,java
582,"ME-S2, ME-T2","ME-T1, ME-T2","ME-T1, ME-T2",Line Completion,=,java
583,NA-2,NA-2,NA-2,Line Completion,(,java
584,"ME-T1, ME-T2","ME-T1, ME-T2","ME-T1, ME-T2",Line Completion,if,java
585,"ME-T1, ME-S1","AE-2, ME-S1","ME-T3, ME-S1",Line Completion,(,java
586,"ME-T3, ME-S6","AE-2, ME-T3","ME-T3, ME-S6",Line Completion,=,java
587,NA-1,NA-1,NA-1,NA,(,java
588,"AE-2, ME-S5",UO-1,"ME-T1, ME-S2",Line Completion,.,java
589,NA-1,NA-1,NA-1,NA,.,java
590,"ME-T2, ME-S1",UO-1,UO-1,Line Completion,.,java
591,NA-2,NA-2,NA-2,Line Completion,(,java
592,"ME-S5, NA-2","ME-T3, NA-2","ME-T3, NA-2",Line Completion,(,java
593,"ME-T1, UO-3","ME-T1, UO-3","ME-T1, UO-3",Line Completion,.,java
595,"ME-T2, ME-T3","ME-S4, ME-T2","ME-T2, ME-T3",Line Completion,if,java
596,"AE-2, ME-S5","AE-2, ME-T3","ME-S2, ME-T3",Line Completion,return,java
597,"ME-S5, NA-1",NA-1,NA-1,NA,assert,java
598,"ME-S2, ME-T1","ME-T3, UO-3","ME-T2, ME-T3",Line Completion,.,java
601,ME-T1,"ME-S6, UO-2","ME-S6, UO-2",Line Completion,(,java
602,NA-2,NA-2,NA-2,Line Completion,(,java
603,"ME-T1, ME-S1",UO-1,ME-S1,Line Completion,(,java
604,UO-1,UO-1,UO-1,Line Completion,=,java
605,"ME-T1, ME-S1","ME-S6, ME-S1","ME-T1, ME-S1",Line Completion,(,java
606,"AE-2, NA-1","AE-2, NA-1","AE-2, NA-1",NA,.,java
608,NA-2,NA-2,NA-2,Line Completion,(,java
609,NA-1,NA-1,NA-1,NA,/,java
610,"AE-2, ME-S5","ME-T3, ME-S1","ME-T3, ME-S1",Line Completion,.,java
611,UO-1,UO-1,UO-1,Line Completion,(,java
613,NA-2,"ME-S7, NA-2","ME-S7, NA-2",Line Completion,[,java
614,"ME-T2, ME-S1","ME-T2, ME-T3","ME-T3, ME-T2",Line Completion,.,java
615,UO-1,UO-1,UO-1,Line Completion,=,java
616,"ME-T2, ME-S1","UO-3, UO-2","ME-T2, ME-T3",Line Completion,=,java
617,UO-1,"AE-2, ME-T3",UO-1,Line Completion,=,java
618,NA-1,NA-1,NA-1,NA,[,java
619,NA-1,NA-1,"ME-S5, NA-1",NA,/,java
620,"UO-3, NA-2","UO-3, NA-2","UO-3, NA-2",Line Completion,or,java
621,"NA-2, AE-1","NA-2, AE-1","NA-2, AE-1",Line Edit,,java
622,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Partial Line Completion,,java
623,NA-1,NA-1,NA-1,NA,/,java
624,NA-1,NA-1,"NA-1, AE-1",NA,/,java
625,NA-1,NA-1,NA-1,NA,,java
626,"ME-T1, ME-T2",ME-T1,"ME-T1, ME-T2",Partial Line Completion,>,java
627,"NA-1, AE-1","NA-1, AE-1","NA-1, AE-1",NA,,java
628,"ME-T1, AE-1",UO-1,"ME-T1, AE-1",Partial Line Completion,,java
629,"ME-T1, ME-T2",UO-1,UO-1,Partial Line Completion,>,java
630,AE-3,AE-3,AE-3,NA,,java
631,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Partial Line Completion,,java
632,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Line Edit,,java
633,"ME-T1, ME-T3","ME-T3, ME-T4","ME-T3, ME-T4",Line Completion,=,java
634,NA-1,NA-1,NA-1,NA,(,java
635,NA-1,NA-1,NA-1,NA,.,java
636,UO-1,UO-1,UO-1,Line Completion,,java
637,NA-1,NA-1,NA-1,NA,,java
638,"ME-T1, ME-T3",ME-T3,"ME-T3, ME-T4",Line Completion,=,java
639,"ME-S2, AE-4","ME-S2, AE-4","ME-S2, AE-4",Line Completion,.,java
640,"ME-S2, ME-T2","ME-S2, ME-T2","ME-T1, ME-S2",Line Completion,==,java
641,"ME-T1, ME-T2","ME-S3, ME-T2","ME-T2, ME-S1",Line Edit,.,java
642,"ME-T1, ME-T3","ME-T3, ME-T4","ME-T2, ME-T3",Line Completion,=,java
643,"AE-4, AE-1","AE-4, AE-1","AE-4, AE-1",Partial Line Completion,<,java
644,NA-1,NA-1,"ME-S6, NA-1",NA,,java
645,"AE-1, ME-T4","AE-1, ME-T4","AE-1, ME-T4",Line Edit,,java
646,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Line Completion,,java
647,"ME-T2, NA-2","UO-1, NA-2","ME-T2, NA-2",NA,+,java
648,NA-1,NA-1,NA-1,NA,,java
649,NA-1,NA-1,NA-1,NA,/,java
651,NA-1,NA-1,NA-1,NA,-,java
652,"ME-T1, ME-T4","ME-T1, ME-T4","ME-T1, ME-T4",Line Edit,,java
653,NA-1,NA-1,NA-1,NA,,java
655,NA-1,NA-1,NA-1,NA,,java
656,"ME-T1, ME-T2","ME-T1, ME-T2",ME-T2,Line Edit,(,java
657,"ME-T1, ME-T3","ME-T1, ME-T3","ME-T1, ME-T3",Partial Line Completion,{,java
658,"ME-T1, AE-1","UO-1, AE-1","ME-T1, AE-1",Partial Line Completion,,java
659,NA-1,NA-1,NA-1,NA,/,java
660,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Line Edit,,java
661,NA-1,NA-1,NA-1,NA,=,java
662,NA-1,NA-1,"NA-1, AE-1",NA,,java
663,"ME-T1, ME-T2",UO-1,ME-T2,Line Edit,,java
664,"ME-S4, ME-T2",ME-T2,"ME-T2, ME-S1",Line Edit,.,java
665,NA-1,NA-1,NA-1,NA,/,java
666,NA-1,NA-1,NA-1,NA,,java
667,"ME-T1, ME-T3",ME-T1,ME-S5,Line Edit,.,java
668,NA-1,NA-1,NA-1,NA,/,java
669,NA-1,NA-1,NA-1,NA,,java
670,NA-1,NA-1,NA-1,NA,.,java
671,NA-1,NA-1,NA-1,NA,.,java
672,"NA-2, ME-S1","NA-2, ME-S1","NA-2, ME-S1",Line Edit,(,java
1180,"ME-T2, ME-S1","ME-S3, ME-T1","ME-T1, ME-T2",Line Completion,.,js
1181,"ME-T1, NA-2","ME-T1, NA-2","ME-T1, NA-2",Line Completion,(,js
1182,"AE-2, ME-S6","ME-S4, ME-T3","ME-T3, ME-S6",Line Completion,.,js
1183,"ME-T3, ME-T2","ME-T2, ME-S1","ME-T2, ME-S1",Line Completion,.,js
1184,NA-2,NA-2,NA-2,Line Completion,[,js
1185,"ME-T1, ME-S2",ME-T1,ME-T1,Line Completion,[,js
1186,UO-1,UO-1,UO-1,Line Completion,{,js
1187,"ME-S4, ME-S6",UO-1,"ME-T2, ME-S1",Line Completion,<,js
1188,"AE-2, NA-2","AE-2, NA-2","AE-2, NA-2",Line Completion,(,js
1189,UO-1,UO-1,ME-T1,Line Completion,.,js
1190,"ME-T3, ME-T4",ME-T3,ME-T3,Line Completion,=,js
1192,NA-1,NA-1,"NA-1, AE-1",NA,-,js
1193,"ME-T2, NA-2","ME-T2, NA-2","ME-T2, NA-2",Line Completion,<,js
1194,"ME-S6, ME-T4","ME-T1, ME-T2",ME-T1,Line Completion,.,js
1195,"ME-S2, NA-2","ME-T1, NA-2","ME-S2, NA-2",Line Completion,=,js
1196,"ME-S3, ME-T1",UO-1,UO-1,Line Completion,=,js
1197,ME-T1,ME-T1,ME-T1,Line Completion,.,js
1198,ME-T1,"ME-S2, ME-T1","ME-S2, ME-T1",Line Completion,.,js
1199,"ME-T2, ME-S7","ME-S4, ME-T3",ME-S2,Line Completion,return,js
1200,"AE-4, NA-1","AE-4, NA-1","AE-4, NA-1",NA,.,js
